TweetId,TweetDate,TweetText,UserId
126415614616154112,Tue Oct 18 21:53:25 +0000 2011,@apple swype iphone crack iphone,464158801
126404574230740992,Tue Oct 18 21:09:33 +0000 2011,@apple adding carrier support iphone 4s just announced,439392988
126402758403305474,Tue Oct 18 21:02:20 +0000 2011,hilarious @youtube video guy duet @apple s siri pretty sums love affair,422248520
126397179614068736,Tue Oct 18 20:40:10 +0000 2011,@rim easy switch @apple iphone ya,357545630
126395626979196928,Tue Oct 18 20:34:00 +0000 2011,realized reason twitter ios5 @apple,476185067
126394830791254016,Tue Oct 18 20:30:50 +0000 2011,current @blackberry user bit disappointed it @android @apple @iphone,469434364
126379685453119488,Tue Oct 18 19:30:39 +0000 2011,16 strangest siri far sooo glad @apple siri humor @happyplace,380418042
126377656416612353,Tue Oct 18 19:22:35 +0000 2011,close personal event @apple tonight regent store,508291396
126373779483004928,Tue Oct 18 19:07:11 +0000 2011,companies experience customer service @zappos @apple,508291396
126366353757179904,Tue Oct 18 18:37:41 +0000 2011,apply job @apple hope lol,302090489
126366123368267776,Tue Oct 18 18:36:46 +0000 2011,rt @jamaicanidler lmao @apple magical dying haha siri suggested whores,302090489
126365858481188864,Tue Oct 18 18:35:43 +0000 2011,lmao @apple magical dying haha siri suggested whores hide body lolol,519634781
126360935509135362,Tue Oct 18 18:16:09 +0000 2011,rt @philliprowntree registered @apple developer hoping it help greatly appreciated,334590243
126360398885687296,Tue Oct 18 18:14:01 +0000 2011,wow deals refurbed ipad first gen models rt apple offers deals refurbished 1stgen ipads @apple,349448774
126358340220616704,Tue Oct 18 18:05:50 +0000 2011,registered @apple developer hoping it help greatly appreciated,308595133
126357982685569024,Tue Oct 18 18:04:25 +0000 2011,learning mandarin upcoming trip hong kong gotta hand @apple iphones uber flashcard apps,486130785
126352268705538048,Tue Oct 18 17:41:43 +0000 2011,dark hey @apple send iphone publicly ceremoniously burn,369019019
126350302113824769,Tue Oct 18 17:33:54 +0000 2011,hey @apple send iphone any version do publicly ceremoniously burn blackberry,406617401
126349695676203009,Tue Oct 18 17:31:29 +0000 2011,@apple mac located wiped stolen air smallvictory thievingbastards,408931094
126342268603998208,Tue Oct 18 17:01:58 +0000 2011,@apple covent garden geniusbar replacing macbook keyboardcracked wristpad lunch break today warranty,314552166
126325800080392193,Tue Oct 18 15:56:32 +0000 2011,@dailydealchat @apple thanks,443653605
126324177501302784,Tue Oct 18 15:50:05 +0000 2011,ipads replace bound playbooks nfl teams @apple @nytimes,508291396
126323785145126912,Tue Oct 18 15:48:32 +0000 2011,@applegood ipad,305184008
126322063332999169,Tue Oct 18 15:41:41 +0000 2011,@apple @siri efffing amazing,457450880
126319186141130752,Tue Oct 18 15:30:15 +0000 2011,amazing @apple ios 5 feature,357545630
126318009647235072,Tue Oct 18 15:25:35 +0000 2011,rt @triplingo featured education apps @apple website today sweet,286281842
126315223060709376,Tue Oct 18 15:14:30 +0000 2011,featured education apps @apple website today sweet,453485383
